"","ACTIONID","Count","predict","group","district","town"
"1556","DVP0212736",2,1.50326111111111,1,"內湖區","港墘里"
"1558","DVP0212906",2,1.56891904761905,1,"士林區","新安里"
"1570","DVP0213421",2,1.74872037278075,1,"士林區","天祿里"
"1577","DVP0213644",2,1.5295126984127,1,"萬華區","新安里"
"1579","DVP0213660",2,1.60692224083106,1,"士林區","天和里"
"1583","DVP0213927",2,1.59373590526587,1,"士林區","福林里"
"1584","DVP0214112",2,1.52492240537241,1,"士林區","翠山里"
"1589","DI00400238",1,1.82298628418365,1,"文山區","華興里"
"1616","DI00401023",1,1.63315714285714,1,"松山區","莊敬里"
"1634","DI00401536",1,1.61036400710401,1,"文山區","樟文里"
"1646","DI00402127",1,1.54243333333333,1,"大安區","敦煌里"
"1660","DI00402529",1,1.537,1,"北投區","立農里"
"1663","DI00402643",1,1.52766666666667,1,"文山區","興福里"
"1702","DI00403939",1,1.8101684540755,1,"北投區","永明里"
"1715","DI00404255",1,1.57663333333333,1,"文山區","樟林里"
"1716","DI00404291",1,1.51018968253968,1,"大安區","龍陣里"
"1717","DI00404302",1,1.51786666666667,1,"萬華區","日善里"
"1734","DI00404868",1,1.64458583745562,1,"文山區","明興里"
"1748","DI00405083",1,1.53729158815041,1,"內湖區","湖興里"
"1749","DI00405089",1,1.60333974195739,1,"南港區","成福里"
"1775","DI00405828",1,1.70578086913087,1,"中正區","螢雪里"
"1778","DI00405908",1,1.50796666666667,1,"北投區","永明里"
"1783","DI00406052",1,1.58365396825397,1,"萬華區","糖?里"
"1823","DI00407033",1,1.54488333333333,1,"南港區","玉成里"
"1841","DI00407369",1,1.52418124098124,1,"南港區","重陽里"
"1844","DI00407412",1,1.50780957375957,1,"信義區","松光里"
"1850","DI00407465",1,1.83525163403472,1,"萬華區","雙園里"
"1852","DI00407546",1,1.57402573681624,1,"士林區","天玉里"
"1854","DI00407586",1,1.55830158730159,1,"文山區","興邦里"
"1883","DI00408213",1,1.54878095238095,1,"內湖區","港華里"
"1891","DI00408397",1,1.54513892773893,1,"北投區","中央里"
"1894","DI00408492",1,1.58255,1,"大安區","民炤里"
"1901","DI00408600",1,1.53731428571429,1,"文山區","興福里"
"1942","DI00409260",1,1.73651404395749,1,"士林區","名山里"
"1956","DI00409449",1,1.51258484848485,1,"內湖區","麗山里"
"1959","DI00409455",1,1.55841563146998,1,"文山區","木柵里"
"1964","DI00409607",1,1.52129525096103,1,"內湖區","五分里"
"1974","DI00409739",1,1.50753333333333,1,"信義區","黎平里"
"1995","DI00410189",1,1.5035119047619,1,"文山區","忠順里"
"1996","DI00410191",1,1.51649023464458,1,"文山區","忠順里"
"2021","DV00579204",1,1.58726133126133,1,"士林區","名山里"
"2029","DV00580486",1,1.50374163614164,1,"內湖區","瑞陽里"
"2031","DV00581222",1,1.67270303030303,1,"文山區","萬芳里"
"2047","DV00584466",1,1.5255188034188,1,"內湖區","西湖里"
"2055","DV00586324",1,1.59897961054646,1,"文山區","興福里"
"2069","DV00589923",1,1.51006666666667,1,"文山區","忠順里"
"2070","DV00590075",1,1.64998701298701,1,"內湖區","紫陽里"
"2073","DV00590401",1,1.53046129506564,1,"中山區","晴光里"
"2121","DV00604581",1,1.68453393159612,1,"松山區","精忠里"
"2139","DV00607384",1,1.5183905982906,1,"大安區","龍陣里"
"2168","DV00615481",1,1.53573296703297,1,"士林區","忠誠里"
"2195","DV00621622",1,1.53703333333333,1,"信義區","嘉興里"
"2232","DV00633857",1,1.5474,1,"中山區","復華里"
"2239","DV00634769",1,1.51032597113032,1,"士林區","仁勇里"
"2255","DV00637767",1,1.51862222222222,1,"信義區","五常里"
"2257","DV00639353",1,1.6665942057942,1,"文山區","萬祥里"
"2262","DV00640065",1,1.55256666666667,1,"內湖區","安泰里"
"2286","DV00645381",1,1.58308787878788,1,"大安區","和安里"
"2291","DV00646571",1,1.59863095238095,1,"大同區","建明里"
"2303","DV00650743",1,1.51066666666667,1,"內湖區","康寧里"
"2309","DV00652226",1,1.55694562770563,1,"中山區","中央里"
"2310","DV00652483",1,1.50055,1,"南港區","新富里"
"2318","DV00655361",1,1.52125342864013,1,"內湖區","港富里"
"2328","DV00658043",1,1.70885604617039,1,"信義區","三犁里"
"2355","DV00663641",1,1.51770885225885,1,"信義區","興雅里"
"2366","DV00665784",1,1.53625757575758,1,"南港區","舊莊里"
"2370","DV00666181",1,1.57613333333333,1,"信義區","中行里"
"2371","DV00666313",1,1.50560692640693,1,"信義區","黎安里"
"2378","DV00666599",1,1.52179420289855,1,"內湖區","清白里"
"2382","DV00666964",1,1.64582167113932,1,"大安區","龍圖里"
"2406","DV00668483",1,1.62081592193622,1,"士林區","福華里"
"2415","DV00669311",1,1.6135,1,"松山區","中崙里"
"2437","DV00671518",1,1.53996666666667,1,"南港區","合成里"
"2443","DV00672327",1,1.61581357063767,1,"士林區","明勝里"
"2447","DV00672670",1,1.52153748473748,1,"大安區","住安里"
"2448","DV00672732",1,1.54427816878462,1,"文山區","萬隆里"
"2452","DV00672877",1,1.55093333333333,1,"文山區","順興里"
"2455","DV00673217",1,1.53423218559218,1,"文山區","興福里"
"2470","DV00674380",1,1.53893650793651,1,"文山區","樟新里"
"2510","DV00677587",1,1.50026666666667,1,"萬華區","新和里"
"2515","DV00678054",1,1.62530332421202,1,"南港區","中研里"
"2516","DV00678141",1,1.51582741953387,1,"信義區","雙和里"
"2525","DV00678488",1,1.63762862137862,1,"中山區","朱崙里"
"2543","DV00679833",1,1.569087653452,1,"南港區","新富里"
"2544","DV00680154",1,1.56397807017544,1,"士林區","蘭雅里"
"2551","DV00680869",1,1.51167352647353,1,"中正區","螢雪里"
"2562","DV00681886",1,1.5737,1,"大安區","義安里"
"2577","DV00683027",1,1.68443242046403,1,"中山區","朱崙里"
"2586","DV00683458",1,1.57901428571429,1,"士林區","百齡里"
"2589","DV00683722",1,1.57704608169608,1,"大同區","至聖里"
"2594","DV00684248",1,1.75142393162393,1,"萬華區","興德里"
"2602","DV00684768",1,1.5136925004614,1,"士林區","後港里"
"2619","DV00686308",1,1.57788497747301,1,"中正區","新營里"
"2622","DV00686699",1,1.54273382815793,1,"松山區","介壽里"
"2656","DV00690261",1,1.60608893883894,1,"信義區","黎安里"
"2661","DV00690472",1,1.59433093018093,1,"士林區","福林里"
"2669","DV00691017",1,1.57610151515152,1,"大安區","虎嘯里"
"2679","DV00691773",1,1.5136119047619,1,"大安區","大學里"
"2680","DV00691796",1,1.57060872171307,1,"內湖區","港都里"
"2698","DV00693381",1,1.61321428571429,1,"中山區","大直里"
"2710","DV00693896",1,1.61104157917879,1,"內湖區","樂康里"
"2757","DV00696633",1,1.53275567765568,1,"萬華區","富民里"
"2761","DV00696885",1,1.50319420289855,1,"中山區","行仁里"
"2765","DV00697346",1,1.5235,1,"士林區","陽明里"
"2777","DV00698056",1,1.55376531090804,1,"松山區","莊敬里"
"2796","DV00700556",1,1.58376053831789,1,"松山區","吉仁里"
"2807","DV00701276",1,1.57822742213484,1,"松山區","中正里"
"2808","DV00701349",1,1.57491428571429,1,"文山區","景慶里"
"2828","DV00702547",1,1.53834781746032,1,"大同區","玉泉里"
"2831","DV00702739",1,1.56440973529173,1,"中山區","成功里"
